Starting solana-test-validator
Ledger path: /var/lib/solana/ledger
Reset ledger: true
RPC bind address: 0.0.0.0
RPC port: 8899
Geyser enabled: true

Notice! No wallet available. `solana airdrop` localnet SOL after creating one

Ledger location: /var/lib/solana/ledger
Log: /var/lib/solana/ledger/validator.log
Initializing...
Waiting for fees to stabilize 1...
Connecting...
Identity: BY4V6ZUvPwB7m6jFrpn1NuXybvHB3MxTveYZsm1RYsPg
Genesis Hash: muSkct4wuMA2tbhYDrmbSwF5YWb2BwvV9omxvyxR3VE
Version: 1.18.25
Shred Version: 3670
Gossip Address: 127.0.0.1:1024
TPU Address: 127.0.0.1:1027
JSON RPC URL: http://127.0.0.1:8899
WebSocket PubSub URL: ws://127.0.0.1:8900
00:00:32 | Processed Slot: 73 | Confirmed Slot: 73 | Finalized Slot: 41 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 72 | ◎499.999640000
00:00:32 | Processed Slot: 74 | Confirmed Slot: 74 | Finalized Slot: 42 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 73 | ◎499.999635000
00:00:33 | Processed Slot: 74 | Confirmed Slot: 74 | Finalized Slot: 42 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 73 | ◎499.999635000
00:00:33 | Processed Slot: 75 | Confirmed Slot: 75 | Finalized Slot: 43 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 74 | ◎499.999630000
00:00:33 | Processed Slot: 75 | Confirmed Slot: 75 | Finalized Slot: 43 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 74 | ◎499.999630000
00:00:33 | Processed Slot: 76 | Confirmed Slot: 76 | Finalized Slot: 44 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 75 | ◎499.999625000
00:00:34 | Processed Slot: 77 | Confirmed Slot: 77 | Finalized Slot: 45 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 76 | ◎499.999620000
00:00:34 | Processed Slot: 77 | Confirmed Slot: 77 | Finalized Slot: 45 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 76 | ◎499.999620000
00:00:34 | Processed Slot: 78 | Confirmed Slot: 78 | Finalized Slot: 46 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 77 | ◎499.999615000
00:00:34 | Processed Slot: 79 | Confirmed Slot: 79 | Finalized Slot: 47 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 78 | ◎499.999610000
00:00:35 | Processed Slot: 79 | Confirmed Slot: 79 | Finalized Slot: 47 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 78 | ◎499.999610000
00:00:35 | Processed Slot: 80 | Confirmed Slot: 80 | Finalized Slot: 48 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 79 | ◎499.999605000
00:00:35 | Processed Slot: 80 | Confirmed Slot: 80 | Finalized Slot: 48 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 79 | ◎499.999605000
00:00:35 | Processed Slot: 81 | Confirmed Slot: 81 | Finalized Slot: 49 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 80 | ◎499.999600000
00:00:36 | Processed Slot: 82 | Confirmed Slot: 82 | Finalized Slot: 50 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 81 | ◎499.999595000
00:00:36 | Processed Slot: 82 | Confirmed Slot: 82 | Finalized Slot: 50 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 81 | ◎499.999595000
00:00:36 | Processed Slot: 83 | Confirmed Slot: 83 | Finalized Slot: 51 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 82 | ◎499.999590000
00:00:36 | Processed Slot: 84 | Confirmed Slot: 83 | Finalized Slot: 52 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 83 | ◎499.999590000
00:00:37 | Processed Slot: 84 | Confirmed Slot: 84 | Finalized Slot: 52 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 83 | ◎499.999585000
00:00:37 | Processed Slot: 85 | Confirmed Slot: 85 | Finalized Slot: 53 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 84 | ◎499.999580000
00:00:37 | Processed Slot: 85 | Confirmed Slot: 85 | Finalized Slot: 53 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 84 | ◎499.999580000
00:00:37 | Processed Slot: 86 | Confirmed Slot: 86 | Finalized Slot: 54 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 85 | ◎499.999575000
00:00:38 | Processed Slot: 87 | Confirmed Slot: 87 | Finalized Slot: 55 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 86 | ◎499.999570000
00:00:38 | Processed Slot: 87 | Confirmed Slot: 87 | Finalized Slot: 55 | Full Snapshot Slot: - | Incremental Snapshot Slot: - | Transactions: 86 | ◎499.999570000
